text,cefr_level
That clock is five minutes fast .,A2
I slept while he was gone .,A2
He was as old as my father .,A2
Many Russians died in WWII .,A2
"Could you get my waiter , please ?",A2
"Fortunately , salad was Gina 's favorite food .",A2
There is a photographer 's studio over there .,A2
I buy my bread from a local baker .,A2
They must be exhausted after their three month journey in Africa .,A2
She is jealous of your dog .,A2
I think that one is his .,A2
Do n't go swimming over there .,A2
"If you wanted to talk to someone , who would you call ?",A2
You must feel very sick .,A2
My mother calls every weekend .,A2
Is there any of the vegetable spaghetti left from last night 's dinner ?,A2
Spotlight is a movie about some Boston reporters .,A2
I made dinner while you were napping .,A2
I will come with you to make sure you are okay .,A2
The temperature dropped as low as minus 20 .,A2
I did n't tell her to go .,A2
We have to change planes in New York .,A2
They were all required to wear suits .,A2
We rushed to the place where we last saw her .,A2
She is usually understanding .,A2
It was the teacher who wrote that .,A2
I wish I could be more like you .,A2
I met someone who is also from Vancouver .,A2
I hate Monday morning .,A2
She keeps the key in a flower pot by the door .,A2
They stood watching us from the window .,A2
The doctor asked if he had come to yet .,A2
When was the last time you saw yours ?,A2
Her son became a dentist .,A2
She 's inviting all her friends to the picnic .,A2
It is close to the station but far from home .,A2
He needs to make it clear .,A2
He said he had to come .,A2
I wish I knew who broke in to our house .,A2
"I wish I could tell you who was responsible , but we may never know .",A2
He walked around the garden .,A2
She does n't want this one .,A2
I do n't know where I 'm going .,A2
I did n't know where you went .,A2
We saw a brown mouse run across the road .,A2
You have nothing left .,A2
Many things were broken .,A2
Did you brush your teeth ?,A2
Have you changed your hairstyle ?,A2
I have n't changed anything .,A2
I am very content with life and every day is filled with laughter .,A2
I 've never seen a movie about frogs .,A2
Are you on the field hockey team ?,A2
Can anyone lend me a pencil ?,A2
He failed the test to become a firefighter .,A2
Not all people like to have their pictures taken .,A2
The dog learned to sit .,A2
We can watch the planes from here .,A2
Everyone looked for the missing boys .,A2
Who is the Israeli prime minister now ?,A2
We hired a new gardener .,A2
He fell on his knees .,A2
I said this movie must be good .,A2
"We were very close to going to France , but the flight was canceled .",A2
That was the day when we saw it .,A2
I 've spoken with all the parents except for his .,A2
I do n't like wearing skirts during winter .,A2
I shop where I see happy employees .,A2
Have you lost your mind ?,A2
Have you made up your mind ?,A2
I wonder why people still die of curable diseases .,A2
He is the man whose daughter is missing .,A2
These sneakers are so soft I could wear them to sleep in .,A2
Did you get what you wanted ?,A2
He did n't know how he should state that .,A2
They 'd be angry if she had gone too .,A2
She said she has not seen anyone all night .,A2
Nothing is as good as my mother 's homemade seafood pasta .,A2
Not all adults are always correct in what they do or say .,A2
This will help them to improve .,A2
Mayweather is the current heavy weight champion .,A2
He recently started boxing .,A2
My flight leaves at two o'clock .,A2
Latin is a dead language .,A2
We waited a long time for her arrival .,A2
They wish they could be happy .,A2
I am a high- level manager in a small company .,A2
A man dressed as a policeman was asking questions .,A2
It 's easy to buy silk in Asia .,A2
I love my cashmere sweater !,A2
I told her to call me if there was any news on his condition .,A2
The park near our house reminds me of our first date .,A2
The Seto Ohashi Bridge was built in the 1980s .,A2
Were there dogs at the park ?,A2
The teacher loves picking on me .,A2
The highway is faster .,A2
This is an area where most people drive rather than walk .,A2
I was excited because Stella and I had 500 dollars to share between the two of us .,A2
I have been ill since morning .,A2
It was that time when you got sick .,A2
Is the dog safe to pet ?,A2
Do you know what the kids ate for dinner last night ?,A2
"If they had gone north , we could have followed them .",A2
There is no more water .,A2
Is there enough water ?,A2
Her smile told me everything I needed to know .,A2
We are against elephant hunting .,A2
The doors must be locked by midnight .,A2
There were many rabbits at the petting zoo .,A2
We have been to England as well as to France .,A2
"Since she was n't feeling well today , she was working badly .",A2
Please ask your father to call me .,A2
Was there a man or a woman in the car ?,A2
Is there a problem ?,A2
There 's not enough salt .,A2
She does n't know what she is doing .,A2
Who wants to lead the way ?,A2
"If I found myself in a new city , I 'd take a tour .",A2
Freestyle snowboarding is now an Olympic sport .,A2
Your mother told me all about your new job when I called last night .,A2
She sat at the table in front of ours .,A2
She put jam on her toast .,A2
The plastic chair is broken .,A2
She gave him a new cup .,A2
He has already opened all his birthday gifts .,A2
Look at that shooting star !,A2
I do n't know why he dislikes me .,A2
I 'd like you to meet my parents .,A2
I wish she could have forgiven him .,A2
"If he was a few years older , he could join .",A2
"If it were me , I 'd join .",A2
Can you keep a secret ?,A2
I felt sad after watching that movie .,A2
We had lobster for Jake 's birthday dinner .,A2
There is a hole in my sneakers .,A2
There were leaves in her hair .,A2
Stadium food is expensive .,A2
She was the woman whose name was forgotten .,A2
She went looking for her dog .,A2
Have you just arrived ?,A2
She 's just sent me a letter .,A2
"If he went on Saturday , there might be less traffic .",A2
"If he were my father , I 'd write him .",A2
My grandson visits often .,A2
It is close to our house .,A2
He never listens to what I say .,A2
It will start getting chilly in Tokyo soon .,A2
It 's too windy to sit outside .,A2
It is difficult to see you in pain .,A2
Liz got up quietly .,A2
Were there people at the concert ?,A2
Do you know what book he was reading ?,A2
I lost my gold ring .,A2
Have you been studying French ?,A2
That parking lot is full .,A2
My car was damaged in that parking lot .,A2
There are plans to build a new library at my school .,A2
Have you already had your lunch ?,A2
Every day he tells his wife not to worry but I know she does .,A2
Jill was always excited to eat melons .,A2
I need a place to put my bag .,A2
This is my bag .,A2
Louis finds fashion interesting .,A2
He has already left for his class .,A2
Gloria always wore very big earrings .,A2
Jack kept a white mouse as a pet .,A2
We did n't want to wake the sleeping girls .,A2
She started counting sheep so she could sleep .,A2
None of them were confident they would win .,A2
I wish they would stop knocking on my door .,A2
Turkey sandwich was her favorite .,A2
Have you been staying up late ?,A2
I do n't know how he did it .,A2
He does n't know how to do it .,A2
I ca n't wait for the day when we have flying cars .,A2
There were not many swimmers in the water .,A2
"If we were all alike , life would be boring .",A2
All the dishes were broken in the earthquake .,A2
It 's too hot to sleep .,A2
You must not get too close to the fire .,A2
I wish she could have seen it .,A2
"We were planning to go together , but she got sick .",A2
She often wore her pajamas until noon .,A2
Where are the kids ?,A2
He never talks about his ex-wife .,A2
The teacher asked him to close the windows .,A2
Mother was happy to finally get a new dog after Daisy died .,A2
Does it snow here ?,A2
He felt his chest tighten .,A2
That was the moment when they sang .,A2
Few people liked her .,A2
It 's football season in America .,A2
All of you should leave .,A2
Please return my book as soon as possible .,A2
Have you met our brother ?,A2
I do n't like heavy metal music .,A2
Lady Gaga is a woman whom many young people enjoy .,A2
I became interested in Japan .,A2
These houses were built before the war .,A2
There are few girls in the soccer team .,A2
The woman listening to the music looked so happy .,A2
She cooks for her little brother .,A2
Her little brother liked collecting pocket knives .,A2
There will be consequences .,A2
They were married in Rome .,A2
It 's time to go .,A2
The teacher often gave out chocolate .,A2
I wish I could find my real parents .,A2
I wish we could have gone to the movies .,A2
The soccer stadium was full of fans .,A2
The meat was still a little too raw .,A2
I am not sad either .,A2
His grandfather retired last year .,A2
I prefer mild climates .,A2
"This was hers , and she gave it to me a few years before she died .",A2
He always had a toothpick in his mouth .,A2
She will do it as soon as she comes back from lunch .,A2
Would you like me to carry that for you ?,A2
He had to wear a tie to work .,A2
Today is another weekday .,A2
You can use ours .,A2
I wish I had a cat .,A2
My printer ran out of ink .,A2
Her eyes were closed .,A2
I wish I could go out tonight .,A2
I left the house on time but the train was late .,A2
Both of you are late .,A2
There is a teacher from France .,A2
There was a girl killed here yesterday .,A2
He ran around the park .,A2
He ran across the basketball court .,A2
He asked the teacher what to do .,A2
I feel it necessary to speak up .,A2
We rarely see each other .,A2
We have n't met yet .,A2
Everyone needs healthy food .,A2
Carrie knew her sister was happy .,A2
Would you hand me that white one ?,A2
Do you think you were changed by what you saw ?,A2
I have n't seen her since we were in high school together .,A2
He pressed the leaf in the pages of an old book .,A2
I wish I could find my other sock .,A2
We 've lived in Tokyo for a long time .,A2
This is made of paper .,A2
Chicken is healthier than beef .,A2
I have never met his girlfriend but I have seen her .,A2
He 's got a girlfriend .,A2
I was born here .,A2
I do not always listen to music .,A2
I 'm not sure when to use this unusual fork .,A2
You ca n't pet service dogs or police dogs .,A2
She runs very fast .,A2
I do n't know who she is .,A2
The area was best known for their pineapples .,A2
She taught her children to be polite .,A2
I wish I could be a scientist .,A2
He always boiled his broccoli .,A2
I wish I had known .,A2
The presenter started to speak .,A2
Can you teach her how to walk ?,A2
You must teach her where to go .,A2
Is it Tuesday already ?,A2
Is it already 5 p. m.?,A2
Sitting for too long is a bad idea .,A2
I got bored at the beach .,A2
There was nothing to save after the fire .,A2
There were several lobsters in the tank .,A2
Would you mind if our friends came with us ?,A2
He 's got a bad temper .,A2
I would like you to do it before dinner .,A2
Some pop singers have no talent .,A2
She is an FBI agent .,A2
She is very excited about her upcoming trip .,A2
My aunt had three daughters .,A2
I think I need to lose a few more kilograms .,A2
The dryer ate my sock .,A2
I grew up with three brothers .,A2
Shall I help you with your homework ?,A2
Each story is different from the others .,A2
Who is your favorite Japanese artist ?,A2
It was the day when she broke her arm .,A2
She was happy but now she is sad .,A2
I have n't mailed it yet .,A2
I wish we could tell them .,A2
I told him I would do it .,A2
I told you he could do it .,A2
What a boring teacher !,A2
Have you ever been married ?,A2
Have you met the groom yet ?,A2
She only has a few friends .,A2
It is as hot as the desert .,A2
"If it was his , where did it go ?",A2
That child has a puppy .,A2
That boy seems interested in you .,A2
It would be better if I went .,A2
Many cities have metros .,A2
The food was brought on beautiful plates .,A2
They went skiing last winter .,A2
Let 's wait in front of the store .,A2
Mother loved mixing cream with everything .,A2
Many children picked the fruit .,A2
"If we had known , we 'd have come .",A2
"If I had known it would be like this , I would n't have come !",A2
The story was covered by many reporters .,A2
I tried to clean up .,A2
How many frogs are in your aquarium ?,A2
I wish it would stop raining .,A2
"If she had known , she 'd have stayed .",A2
"In order to lose weight , he ate vegetables .",A2
"In order to save time , he drove .",A2
I said I was going home .,A2
She hoped to find a good job at the job fair .,A2
Movies produced in Hollywood are popular .,A2
She said she had something to tell you but she did n't say what it was .,A2
He spoke to both of us .,A2
He told us what he had seen .,A2
This area is known for its peaches .,A2
The food is usually good there .,A2
They planned to go to Canada .,A2
They often liked doing things together .,A2
I 'd like to be a godmother .,A2
"If I had found it , you 'd know .",A2
Have you ever seen this kind of issue before ?,A2
Have you ever seen anything like this before ?,A2
Where did you buy that beautiful pair of pajamas ?,A2
Jane had a nice jacket collection .,A2
My tooth is loose .,A2
I need to see my dentist for this toothache .,A2
She began to walk more and more slowly .,A2
My dog died when I was five .,A2
Have you ever been in a limo ?,A2
I lent her my coat .,A2
She put makeup on every day .,A2
She ate spaghetti every week .,A2
The trees planted last year look great .,A2
"It will be April soon , so I will finally get to see beautiful cherry blossom trees .",A2
Our kids have trouble deciding what to wear to school .,A2
Have you seen my sneakers ?,A2
My grandmother was always wonderful at telling bedtime stories .,A2
He caused a problem .,A2
Her hair was as soft as silk .,A2
The Americans fought in the Vietnamese War .,A2
We show children how to be creative .,A2
A baby sheep is called a lamb .,A2
It should get cooler in the afternoon .,A2
It is in the mountains where you see beautiful trees .,A2
Nothing in this dinosaur museum is real .,A2
They may be at the restaurant already .,A2
She went home late .,A2
Do not listen to your older sister because she is not always right .,A2
The story brought us hope .,A2
"Because his fingers were broken , he could no longer play the piano .",A2
The staff have n't opened the office yet .,A2
Whales are generally peaceful animals .,A2
She was as beautiful as they said .,A2
Who is the author of that book ?,A2
Tokyo is preparing for the 2020 Olympics .,A2
It was then that I saw her .,A2
It was summer when I saw her again .,A2
I have just finished my homework .,A2
He was n't allowed to have any alcohol .,A2
He is a man whose career has been long and successful .,A2
I 'd like you to set the table for dinner .,A2
Shall we start the conference now ?,A2
She works on Wall Street .,A2
Do you have plans to travel to Europe this year ?,A2
I hope to go to France one day .,A2
Have you seen it already ?,A2
Her eyes were as kind as ever .,A2
I have been teaching here for many years .,A2
I wish I was rich .,A2
I do n't know what to do about those noisy neighbors .,A2
Has the movie just started ?,A2
He had very powerful legs .,A2
Lisa does not always want to spend time with her boyfriend .,A2
The women coming over today are my friends .,A2
We love to invite our friends over .,A2
He died doing what he believed in .,A2
It was found yesterday .,A2
It was found on the train .,A2
She said I could borrow hers .,A2
I forgot my slippers but she let me borrow hers .,A2
I wish she could be there .,A2
We heard frogs near the lake .,A2
Shall we take Jessica to the hospital ?,A2
She had to start over .,A2
Let 's eat fish as many times as possible .,A2
He loves his sneakers more than his regular shoes .,A2
Why do you always wear sneakers ?,A2
Obama is a person whose power is respected .,A2
I do n't know where I put my house keys last night .,A2
I found his keys by the door .,A2
When was this built ?,A2
Which Canadian cities have you visited ?,A2
There is a storm coming .,A2
Limestone is often used in cement .,A2
There will be war .,A2
The windows were locked .,A2
He suddenly got angry .,A2
She placed her bag on the floor .,A2
The plane was as small as a car .,A2
He was followed by the police .,A2
The police came looking for the thief .,A2
What a gorgeous sunset !,A2
There are a lot of sheep in Ireland .,A2
Have you ever been on a plane ?,A2
Have you ever gone to sleep on a train ?,A2
Who is your favorite illustrator ?,A2
I love this illustrator !,A2
This is the room where it all began .,A2
I wish I could tell them good-bye .,A2
I wish I could tell them that I forgive them .,A2
The alarm will ring in a second .,A2
Tell him when to leave .,A2
The school allowed him to perform .,A2
Is that the house where we met ?,A2
I wish I could have finished it .,A2
Blue crabs are famous in this area .,A2
It has been raining since Tuesday .,A2
There have been fights .,A2
Have you seen hers ?,A2
Have you seen my sister ?,A2
I could n't believe what he said .,A2
I wish I were smarter .,A2
Will you allow us to go ?,A2
He learned when to start dancing .,A2
We learned to dance .,A2
It started raining during our picnic .,A2
Tokyo is one of the most exciting cities in the world .,A2
He walked through the door .,A2
I miss the way my mother laughed .,A2
I miss my mom .,A2
She must go home soon .,A2
She had warm brown eyes .,A2
He was a respected man in his community .,A2
She strained her neck .,A2
She received a ring from her boyfriend .,A2
I told her to visit again soon .,A2
He could n't stop looking at her .,A2
"I wish I could be there when she arrives , but I have another appointment .",A2
She has already arrived .,A2
Her eyes looked like emeralds .,A2
Her dress was emerald green .,A2
I wish I could go to bed instead of doing all this homework .,A2
He gave the boys some money to buy their mother some flowers .,A2
She got what she wanted .,A2
Did you forget yours ?,A2
He won an award for best actor .,A2
It was a great role that made him famous .,A2
"Wow , what a beautiful fabric .",A2
Blouses are more feminine than shirts .,A2
Everyone clapped their hands after the performance .,A2
Have you started classes yet ?,A2
"If you were me , what would you choose ?",A2
The dogs started to fight .,A2
There was a red car parked there .,A2
There were two tigers at the zoo .,A2
I have just started my new job .,A2
Have you started your new job yet ?,A2
That was the spot where the tree was .,A2
My parents died many years ago .,A2
My mother - in- law died three years ago .,A2
Her grandfather loved his steak rare .,A2
He liked his beef medium rare .,A2
She joined the U.S. Sailing Team .,A2
I 've never been outside of Japan .,A2
I have lived in Japan as well as in Canada .,A2
"She had beautiful , long hair .",A2
Eating more vegetables will help you to feel better .,A2
Both of them finished their homework .,A2
Emily finished her homework before she got too tired .,A2
The animals began to run .,A2
I wish we were all together again for one last dinner .,A2
I wish we could go again .,A2
Let me get you your coat .,A2
They could n't find anyone .,A2
He decided to buy flowers for his wife while he was out .,A2
None of them drink .,A2
You may go to the concert if you pay for it .,A2
I asked him to leave .,A2
"If I lived here , I 'd be so happy !",A2
I 'd be so happy if she lived here .,A2
They usually go to sleep early .,A2
He painted his room blue .,A2
It was painted blue .,A2
How long ago did it happen ?,A2
It happened a long time ago .,A2
She always wore boots with heels .,A2
She often shared her boots with her sister .,A2
It took the boat a year to travel across the whole world .,A2
I would have done it differently if I had known .,A2
Did you tell her where to meet us ?,A2
Did your wife come with you ?,A2
The train stopped before I arrived at my station .,A2
The train stopped suddenly .,A2
He 's my big brother .,A2
That 's the house where we hope to live .,A2
I would love to live in a house like this one .,A2
She 's made a lot of friends .,A2
She made many friends before leaving the country .,A2
The band started to play .,A2
Her heart was broken .,A2
Have you just finished ?,A2
Has it already been finished ?,A2
We learned about clouds today .,A2
It was a wonderful place to view the sunset .,A2
We sat watching the sunset .,A2
His bird died suddenly .,A2
There are many kinds of fruit in the world .,A2
Is this the spot where the restaurant is ?,A2
You 've made a promise .,A2
I wish I could have done it .,A2
It was time for dinner .,A2
You look like your sister .,A2
The temperature is really mild this morning .,A2
Yesterday was one of the warmest days so far .,A2
Children are not allowed in bars .,A2
My sister might leave early today .,A2
Most sharks are not dangerous .,A2
I hope to become a teacher .,A2
Have you changed your socks ?,A2
Did you have a chance to speak to your boss ?,A2
May I speak with your boss ?,A2
There are twenty children in one class .,A2
There were twenty people in the room .,A2
What if she went with us ?,A2
What if we went together ?,A2
Have you seen my book ?,A2
Do you want to read this book ?,A2
The second semester begins in September .,A2
The new US school year starts in September .,A2
All children need a good education .,A2
She dropped the napkin on the floor .,A2
Her arm was broken .,A2
Her leg was broken in the crash .,A2
Is that your car ?,A2
That 's the house where they went to play video games last week .,A2
We stood looking at the sky .,A2
Put away the winter pajamas .,A2
Pick up your pajamas .,A2
She always had an apple for snack .,A2
She always put apples in her yogurt .,A2
She asked me to stay .,A2
She would like you to come with us .,A2
She knows a place where we can go .,A2
Halloween is in October .,A2
I wish I could find that book .,A2
Could you lend me that book ?,A2
Have either of you guys finished the homework ?,A2
She is the woman whose research has been published .,A2
The sun began to rise .,A2
Pass me that football .,A2
"Pass me that ball , would you ?",A2
The children have already gone to sleep .,A2
College is expensive to go to .,A2
The students were bored .,A2
That is the house where she works as a maid .,A2
That 's the house where guests stay .,A2
It will rain tonight so you should take an umbrella .,A2
I wish I could go back in time .,A2
Some students did n't come to class .,A2
That was the day when she knew her life had changed .,A2
"In order to get there on time , he left work early .",A2
He left early in order to get home .,A2
There was a car parked next to the house .,A2
I wish I could be your friend .,A2
I wish I had a friend .,A2
Sometimes the baby would not stop crying .,A2
This school has many hard -working teachers .,A2
Have you got your homework ?,A2
Have you been doing your homework ?,A2
Do you have weekend plans ?,A2
Have you already done it ?,A2
Have you done it yet ?,A2
Vegetables are very healthy for you .,A2
Green vegetables are always good for you .,A2
"If it had been yours , you 'd cry .",A2
He is a man whom I trust .,A2
Nobody had enough money .,A2
She is a woman whom many people respect .,A2
She is a woman whom many people like .,A2
What would you do if you were me ?,A2
Do you have kids ? How many ?,A2
How many children do you have ?,A2
The room started to shake .,A2
He never trusts anyone except his older brother .,B1
Do you have a wind chill calculator ?,B1
"Although you 've no doubt seen this kind of crime before , it is nevertheless shocking to see the violence .",B1
The new immigration bill would allow some people to stay in the country .,B1
Petting animals is good for relaxing people under stress .,B1
I love petting our neighbor 's cat .,B1
I am a reading specialist .,B1
Mindy always wore cute orange earrings .,B1
My brother loved his pet mouse .,B1
She whispered so as not to wake him .,B1
He was very skilled in singing .,B1
I do n't know why the school changed their curriculum so suddenly .,B1
"The schedule has changed , but it is still possible to find good classes with good teachers .",B1
"On the trip , he bought a pair of lovely silk pajamas for his wife .",B1
He lived near a turkey farm .,B1
He had a huge cabbage farm .,B1
Each jockey wears a different color .,B1
"None of them would admit that they made a mistake , and that everyone was equally at fault .",B1
Hannah might be transferring to another school next semester .,B1
The sound came in intervals .,B1
I do n't have any money to lend you for your schemes .,B1
"No one likes their work to be criticized , especially when they have put a lot of time and effort into it .",B1
The pigs were kept in a small pen .,B1
The doctor asked me about what she ate .,B1
She was trying to find out what it was that was making them sick .,B1
My husband 's brother is my brother - in- law .,B1
"If we were all the same , would life be safer ?",B1
Tie the rowboat to the dock .,B1
Our rowboat is gone !,B1
We hope to see that movie but I heard the tickets might be sold out .,B1
"This year was one of the coldest winters in recorded history , some say because of the climate change issue .",B1
Giant stones crashed down from the mountain .,B1
Everyone stopped what they were doing when the earthquake shook the building .,B1
I found her crying quietly in her room the day her cat died .,B1
This building is for people whose income is quite high .,B1
The dog is afraid of the thunder .,B1
She told what I saw as a convincing story of her experiences .,B1
My school friend is an Army general now .,B1
"If he tried to touch it , he would be burned .",B1
By telling jokes in class Professor Allen kept his students alert and amused .,B1
A psychiatrist lives in my building .,B1
"If she had been with me , I know we would have had such a great time .",B1
Few people succeed in starting their own business and profiting greatly from it .,B1
"Strangely , she only ate cereal at night .",B1
Anything from Japan reminds me of home .,B1
He never greets people he dislikes .,B1
There were many stray cats along the road .,B1
The dog was pleased to see his master again after a long time .,B1
There is one girl in our class who always falls asleep .,B1
Heroin is one of the most dangerous drugs because it is so addictive .,B1
The lion roared loudly .,B1
The coach yelled loudly .,B1
Nobody liked the new uniform design .,B1
She practiced so as to improve .,B1
She did n't understand why many people disliked peas .,B1
She pointed her finger at him .,B1
Some people are not at all affectionate .,B1
They threw away what they could n't eat .,B1
He followed her movements like an eagle .,B1
We learned how to predict typhoons .,B1
He did n't like how sticky peanut butter was .,B1
He loved the scent of peanuts .,B1
No airplanes are flying because of the violent storm .,B1
Is fish healthier than fruit ?,B1
Fresh fruit in the diet may protect against cancer .,B1
She wore a hat to block the sun .,B1
It feels good to get these assignments finished early .,B1
It 's nice to see a paper you 've been working on for months finally completed .,B1
Many buildings are made with steel beams .,B1
He learned where to get good Japanese food .,B1
She was the woman whom I called my closest friend .,B1
Her memory began to fail until finally she no longer knew me .,B1
She borrowed money to pay her bills .,B1
So many high school graduates do n't know what they want to study at university .,B1
Do you think he will mind if I borrow his ?,B1
They have n't gotten any sleep since the twins were born .,B1
The heated air feels great in winter .,B1
He would be happy if I went too .,B1
What we eat says a lot about us as a society .,B1
She always preferred soy beans over anything .,B1
Football is played in stadiums .,B1
"They had a long , loving marriage .",B1
Snow boots are good to have because they are warm .,B1
The championship game had a large crowd .,B1
There is no reason to be so depressed about the results .,B1
I am disappointed by what I find in my refrigerator .,B1
Some people would like to know what it is to be like a celebrity .,B1
We wanted to get started before the rising sun get too hot .,B1
The quiz is impossible to complete .,B1
Her notebook was next to mine when I saw it last .,B1
She is our foster daughter .,B1
Gina added more beans to her diet .,B1
Nobody spoke another word after the professor got mad .,B1
His friends often come over and hang out at our house .,B1
He asked her what to get for his mother 's birthday .,B1
Some teachers with large classes never get to know their students .,B1
She gave me beautiful gloves for Christmas .,B1
He fixed his tie before starting his presentation .,B1
Cargo ships dock in port cities .,B1
"You can borrow ours , but please just be careful with it .",B1
I got newspaper ink on my shirt .,B1
Lots of people got sick on the cruise ship .,B1
They all seemed scared of the noises .,B1
The students learned to check their papers with spell and grammar tools .,B1
Tim was always trimming his moustache .,B1
Her favorite vegetable is cauliflowers .,B1
She used vegetable oil to fry the vegetables .,B1
Please have someone walk you back after the party .,B1
Could anyone send me directions to the dinner party ?,B1
I approached my professor before class to ask him some questions .,B1
She was given several distinguished awards for her work .,B1
This is something which needs to be said .,B1
It 's cold enough to wear sweaters again .,B1
I like to wear my warm clothes in the fall .,B1
I wish I had gotten my black belt when I was younger .,B1
I wish I had earned my PhD before I turned 40 .,B1
The snow is good to have during Christmas .,B1
There are several movies about wolves .,B1
Some snakes are completely harmless .,B1
Would you hand me that piece of paper ?,B1
"What I saw was an opportunity to change my life for the better , so I took it .",B1
He looked through the books carefully .,B1
Elk meat is leaner than beef .,B1
Quiet background music can help you to concentrate .,B1
Why do n't you use a fork ? Nick said .,B1
The tourists had no idea about where to stay .,B1
The doctors tried as much as possible to save her .,B1
"Amanda , who was the fastest runner in our grade , ran across the field at full speed .",B1
The door has been locked since she left .,B1
A group of university graduates wanted to go backpacking around Europe .,B1
I wish I could have had a chance to clean up before your arrival .,B1
There were people protesting the military base in Okinawa .,B1
You might try contacting your professor before you register for his class .,B1
Your professor must be notified in advance if you are planning to take his classes next semester .,B1
"Take it from me , you are much better off thinking about all the things in life you are grateful for than complaining about things that upset you .",B1
I wish they would stop complaining .,B1
I do n't think that they will show the movie yet .,B1
I wish I could have told you myself but I did n't know you were here .,B1
I need to sell some of these books before I can buy more .,B1
I am looking for someone who can drive me to the airport .,B1
I do n't know who burned all the books .,B1
Unidentified teachers protested the policy .,B1
He was thrilled to get a job there .,B1
The police saw the gate and its broken lock .,B1
The police had been asking if anyone had seen the snake that escaped from the pet store .,B1
Have you seen my missing snake ?,B1
He gave her a shoulder massage .,B1
Ryan picked up his little sister and finished all of his assignments before six o'clock .,B1
Doctors and nurses sometimes work in war zones .,B1
The teacher took the children to the aquarium to show them many types of fish that live in the sea .,B1
They were given several types of fish .,B1
There are wild goats in Hawaii .,B1
There were lots of goats in Greece .,B1
"If they had seen the fire , they would have gone to check it .",B1
He always got a strawberry milkshake .,B1
He always had his bagel with cream cheese .,B1
I wish I knew how to lose all this extra weight .,B1
Were you offended by what he said to you ?,B1
He has been dieting since his heart attack last spring .,B1
He carefully moved across the crowded room .,B1
Amanda was pleased to see all of the residents happy in her newly built apartment .,B1
It 's not raining anymore but they stopped playing outside anyway .,B1
"The door was locked , the curtains were drawn , and the newspapers were piled up in the mailbox .",B1
We took the cable car up the mountain .,B1
The view from the cable car was amazing .,B1
Spanish is the fastest growing language .,B1
He became a man whom others feared .,B1
She always chose to eat lamb at restaurants .,B1
He is a man whose life has been mostly lived abroad .,B1
I wanted the kids to wash the car today but I think it might rain .,B1
Was there good food at the gathering ?,B1
I knew he was a person who got angry very quickly .,B1
"If it went by express mail , they should have it by now .",B1
Fine wool from sheep is used to make sweaters .,B1
She sang passionately so as not to bore the audience .,B1
"Despite being a great singer , she sang very badly that night .",B1
I wish it could be someone else that drove the car off the bridge .,B1
The old man who caused the accident died yesterday .,B1
The man in that car caused the accident .,B1
It was hot in the sun where we stood .,B1
One look at the exam made her feel nervous .,B1
There is an urgent need for more doctors who are willing to volunteer in Africa .,B1
