title,lang,source_name,format,category,cefr_level,license,text
0104.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"Four years ago, I went to Senegal during two short weeks and I think it was the most beautiful travel that I've made in my life. I took the plane and it was the first time for me because my parents doesn't like plane (my mother is afraid by that). It was the most beautiful travel because I discover a lot of thing that we doesn't know here in Belgium."
0106.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Thank you for your invitation! If you want, i can help you to prepare your home! I can too bring somes alcohols, food and friends. You don't have enough friends to bring a good ambiance to your party, that's terrible! So i can help you in that way, i know that you need me for this! Maybe you will meet news peoples, that can be awesome for you. I know that you're very lonely, but don't think too much about that. You just need to feel the present as he comes to you. Don't be angry when you read this, that was a whole joke! I know that you don't love this kind of humour, but i'm like that. And please, don't get wasted like the last time we had a party, you was totally drunk and you wanted to date {name}, this ugly pig! No, i'm not rude, she's really the ugliest thing on earth, and she's not a good girl. She's a whore! Excuse me, but you know that i'm right! Anyway, i just wanted to thank you and give my help."
0110.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Dear friend,"
0111.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Hi {name}, Thank you for your invite ! I was so happy te receive it !"
0115.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"If i have to imagine my life in the future, it would probably looks like an adventure life. My childhood dream was to discover the world and learn about new culture in different country. So i hope that in 10 years, i will discovered so many beautiful landscape and met people who changed my life, with their culture, as i changed their."
0116.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Hey body, thanks for your invitation for your birthay party! I was really happy when i saw it in my facebook page. So if you need some help on any matters, you know that I'm the man! I can bring some drink, make the decoration of the room, cook some meal,... Wathever you want. I see you tomorow at school, so we will speak about that. Bye!"
0121.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"The best book I've ever read is probably ""Harry Potter and the Deathly Hallows"" by Stephen King. In this book, there's a strange mix of passion, self-awareness, secrets, lies, action and fear (what's bring us more than fascination). It's a book who's adressed to a large public (but maybe not for kids ...). That's the untying of the sage Harry Potter and I have to say that I'm not disappointed ! When I've opened this book, I wasn't able to close it anyway. I advise to read this masterpiece as soon as possible !"
0133.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"For now, I have never think about these amount of monney, so I cna't have a clearly idea of what I can do with. But by thinking now, I can divide these monney to do different projects, like rise up a company, creata an orphanage. But primary I can say that my first goal will be how I can find a way to multipide those monney. It said in introducing the money in the economy."
0134.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,"I think I will travel the world and visit the most beautiful areas of the world. But I find that with money it's too easy. If I want more adventure I have to meet the inhabitants of the country and walk in the nature. So, I will use the money for the plane ticket's and no for luxuous hostels. I have the project to visit south America because I have many friends in these country. They will be happy to offer me a home and to show me their country. I dream to walk in the historical Machu Pichu."
0144.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Hi everybody,"
0145.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"I have already read a lot of book in my life. In my opinion, the best book is the Harry potter because there are more than one book for reading the full story. Moreover we can see after reading the book the film in cinema. It's really exciting  to read a book and imagine the situtation and the figurants. Then you can go to cinema and you can see how the productor wanted to show us the story of Harry potter. The goal of this book it's not to touch people or realise of a problem in the life but it's a funny book that you can read for your free time."
0148.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"I'm not a big fan of reading and i don't read many books. But six months ago, i had read one book very interesting."
0151.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"The best book I have ever read is ""La jeune fille à la perle"" of Tracy Chevalier. This book tell the story of a little girl who work for a rich family. In this rich family, live the artist Vermeer. The work of this girl is clean the house and after few months, she become friend with Vermeer. In fact, their friendly is an attirance.."
0153.xml,en,cefr-asag,document-level,learner,B2,CC BY-NC-SA 4.0,"""Brassicole the 16th of March"""
0156.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"The best book I've ever read is 20 miles under the seas by Jules Vernes. When I was 8, I had many books wrotten by this autor. The story occured under the sea. A terrible monster (looking like a giant octopus) was attacking many boats. In order to react at this threat, men organised a big expedition to kill the monster. According to them, it was nothing more than a big shark or a giant octopus. But what they discovered was scarier than their expectations. In fact, in the deep sea, they met an opponent. Neither the swords, neither the spears could beat it. For the first time in human history, men have to fight against a opponent stronger than them."
0165.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"If I had 1 million euros, I would first of all put them in investments that will make my old days better. Then, I would visit all the world with my family to discover new cultures and food.I also would stop to work and enjoy of my free time by making some sports, journeys and by being with my friends. Of course, il would every year give a part of this amount of money to charitables. And when I will have done this, I would buy excitings cars and a chalet in mountains so that I can enjoy the winter by skiing and the summer by sunbathing and making some walks into the wild."
0172.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"If i had 1 million euros, i would firstable give a part to my parents because they have been giving me a lot of money since i was born. Then i would buy a normal house and maybe a car if i still have enough money. For the house, a old house in the countryside could be great and for the car, a Clio or a small VW would be really good. One million euros is not so much in fact but it can help a lot !"
0175.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"If I had 1 million euros, I would spend that money for my family first, to bring them on holiday to do a whole world travel's tour. But I suppose that I still would have money after that. That's why I would give a part of this amount of money too poor countries, so that they can build hospitals and first help's buildings. I would like to help people who is in the need, whithout passing throught their government because I know they usually are currupted."
0183.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"My name is {name}, i'm belgian and today I want to share with you something that happened to me yesterday afternoon. I currently am in holiday and decide to leave my country to visit others. Me and my cousin choose to visit Denmark. We so have to take the plane to Copenhagen. That was the first time we were taking the plane by our own, we were so a little stressed. Once in the airport we were running everywhere asking for everybody where do we have to go. It was a this right moment that the 2 bomberman decide to blow up the airport. We were both safe but it was very frightened...there were people laying on the ground, smoke and dust everywhere."
0188.xml,en,cefr-asag,document-level,learner,A2,CC BY-NC-SA 4.0,La brassicole
0189.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,If i had 1 million euros i'll try to help the people who are most in need.
0194.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"I m in a festival like event, a big festival where during 5 days and 4 nights, people from all around the world come here for music and enjoy it. There are truck foods, toilets, shower, chairs and sofa for relaxing, like at home. There are ten of thousands people here, Asian, French,Italian, Marocan, ... from every nationalities; it's very diversify. It's cool to be there because everybody is smiling, speaking with each other, making jokes, even if they know nobody. It's a particular ambiance that you must live once in your life !"
0210.xml,en,cefr-asag,document-level,learner,C1,CC BY-NC-SA 4.0,"The best book I've ever read was ""La guerre des clans"". I was 14 when I read it for the first time. Sure I was yong and I've read many other books since then. But this book is the one that makes me love reading. I can't explain why, cause I think nobody could understand. When I've been telling my friends about that book, they were not really excited... Well, it's a story about cats. Maybe they were thinking it was a book for children, but it wasn't. Even if the main characters were all cats, I could easy imagine they were humans. In the book, they can speak, they're feeling and thinking like humans would do. To be honnest the only difference was that they were fighting with claws instead of weapons. That's not a bad thing."
0215.xml,en,cefr-asag,document-level,learner,B2,CC BY-NC-SA 4.0,"The best book I have read ? In fact, those are every book of Guillaume Musso. Personally I can't say this book is better than an other because I liked all of  them. The universe of his books is the same in every book except the story and the figures. There are also two cities ( one in France and the other in the United States) and a love story with some mysteries. Sometimes some figures disappear or come out. His books are awazing from the beginning to the end. Guillaume Musso is in the habit of making his figures lovable. He includes at the beginning of every chapter of his books a quote and it is very pleasant to read, that inspire me a lot. He has an unbounded imagination. In most of the case, we are surprised at the end of the book because the situation turn around."
0217.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Yesterday, I've been to the Revue of the CESEC circle. Do you know what is it? In fact, you find a lot of arts. There are dances, songs, theater made by the students and for the students. The actors play the role of the professor from the University of Louvain-la-Neuve. So the professor come to the Revue and are specator just as the student who wants to see their friends which organise and plays in the Revue. This year it happened in the Salmigondis place because the Aula Magna was too expensive. So it was a real challenge for them : there is no scene, no lights, no curtains. In three days, the organisator have to do the best to make it real! And they did it, there was a lot of humour. After, the professor offered beers to everybody to thank them for the show !"
0220.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Last week, I attended a big fashion event in Paris. I went to Paris from thursday to monday evening. Paris is a fantastic city! The event was on saturday night in a big historic monument. It was magical. I met a lot of big names of the fashion industry. The show was on the afternoon, it started on 3 pm and ended one hour later. Before the show, a lot of photographs were at the entrance to take pictures of the last fashion clothes of the spectators. Once we were inside, we could find on each seats bags with presents from the brand in it, it is always great to receive free products from a brand. The show was beautiful, no one of the models did fall and their clothes were very nice. After that, I visit Paris. On monday evening, unfortunetly, I had to go back home, in Belgium. I spent a very good time on the event, a memory to always remember."
0226.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"If I had 1 millions euros, I would keep a part for me and give the rest to different associations for human's right, poverty, homeless people, refugees. I think that when you keep all the money for you and that you buy everything you want, you think you're happy and the king of the world but it's not the same hapiness that when you share it with people who really need it. I think that when you share, you become richer than when you keep your money for your own pleasure."
0230.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"If I had 1 million euros to spend, I will probably give a huge part to the people who needs it. I'll keep a small part to spend it with my family and friends and the rest will certainly go on a bank, which will permit me in few years to give a big part of this money to associations again. I'll use it also to travelled the world and discover different cultures, the way of life of the people from different countries and offer myself a great life lesson."
0234.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,I would invest in a house of moreover 300.000 €. I would also buy a car for 30.000 € maximum. I would put all the rest at the bank on a spare account.
0235.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"The best book I've ever read is a classic, Harry Potter. I've grew up with the saga, since I was a child until now. This made all of my childhood and a part of my teenage."
0241.xml,en,cefr-asag,document-level,learner,B2,CC BY-NC-SA 4.0,"The best book I've ever read is the Harry Potter saga, which is composed by 7 books. I love reading this book because the writer talks of a new, magic world which a lot of character and also a lot of moral basis, like friendship, relationship, happiness and the fight between the good and the evil's character."
0244.xml,en,cefr-asag,document-level,learner,B2,CC BY-NC-SA 4.0,"I think thos question is very difficult. One does not simply know which book is ""the best"" he or she has ever read. My first thought would be of course for the Harry Potter saga, wich has made all my childhood and participated in a big proportion to my construction as an adult person. Yet today I often use it as a reference for many parts in my life. Bit is it the ""best book"" I've ever read ? I must answer no for many reasons. Which book then? My favoriete writter is Bernard Werber, bit it isn't the question and I couldn't choose just one of his. I guess my final answer will be the one I'm reading right now, first because he is really good, speacking about japan and modern live, but mostly because he perfectly fit to my current mood. And it isn't the definition of the best book anyone could ever read? the one who at some point of life and time, just suit you."
0251.xml,en,cefr-asag,document-level,learner,B2,CC BY-NC-SA 4.0,"A few months ago, I bought a book that I had seen in a library and which seemed very interesting. It's called ""invisible revolutions"". The book is divided in chapters, and actually each chapter is a small ""story"" about a real fact that is happening now. Every story has a link with the environment. For example, they talk about climate change and solutions about it..."
0256.xml,en,cefr-asag,document-level,learner,C1,CC BY-NC-SA 4.0,"The most important thing to know is that if I had one million euros, I would give the half to help people who need it. I wouldn't give everything to associations as soon as I receive it, but I would keep it until something happens in the world, like a earthquake, so I can help people at the moment they need it the most."
0259.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"At the moment, the only event I'm waiting for is the next summer holidays !"
0262.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Hello everybody,"
0267.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Yesterday, I went to a concert ! It was very original because there were not any intruments. It's weird, no?"
0268.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"I have just seen Batman vs Superman and I couldn't miss the occasion to share with you my opinion. I won't speak about all the aspects of the movie (I mean the plot, the actors or the music) because I would be too long to explain and you can easily find that on the internet. I just want to share something like verdict with you. Here is mine : it was good ! Whatever you could hear on the social networks or in the newspapers just remember this famous quote ""don't judge a book by it's cover"". I couldn't be more true. The fact that I like this blockbuster and superheroes movies may sounds strange for most of you but I find in this kind of stories something similar with greek mythology.. You will also notice some obvious references to Greece and also some potential philosophy subjects. You should definitely go there and see the movie, I hope you will enjoy it as much as me. Don't forget to comment."
0269.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"If I had the chance to won 1 million euros, I would give a part at associations for children who are so hungry in Africa for exemple and also for animals. I'm obviously going to use it to do some shopping with my sister, just to buy what we want and also to travel around the world. I really would like to discover new culture, new people, beautiful landscapes and just enjoy the peace on high moutains."
0272.xml,en,cefr-asag,document-level,learner,B2,CC BY-NC-SA 4.0,"In my opinion, everyone wants to reach happiness. That idea is what drives people throughout their lives, what influences them the most when facing important choices. Now, in a world where capitalism has so deeply spreaded in all aspects of the society that wealth became the principle value by which a person can mesure his success and thus, his happiness, grinding money for the sake of it seems like the rational thing to do."
0273.xml,en,cefr-asag,document-level,learner,B2,CC BY-NC-SA 4.0,"As a student, I would be really delighted if I could study abroad and discover new horizons. Travelling bring experience to the students and that can be really useful in the professional life. It gives them a new look to everyday-problem and this new look can help in future decisions making."
0276.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Yes, i think that it should be mandatory because we have to be immerse in another country to learn well the language. Learning a language in our country is not enought, we just have more or less 4 hours at the university, so really not enought to be fluent. Nowadays without the capacity of speaking others languages, it's almost impossible to find a job. Furthermore, going overseas is a way to improve the language but it also a way to learn to be ressourceful, responsive and blooming. It's also an great opportunity to meet people from different cultures, and to discover their cultures."
0278.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Nowadays, study abroad becomes more accessible for everyone. Indeed, a lot of programmes and associations propose to the students different opportunities to do part of their studies abroad. For example, the Erasmus program is very popular in the universities."
0281.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,I don't think study abroad should be a compulsory part of education.
0282.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,The issue of environment
0286.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"First of all, I'll just say that every little things are important. There are not ""little initiatives"". Let take the example of Louvain-La-Neuve, if every students try to sort the waste or take the train, it means that nearly 30 000 persons (whithout all the personals) are taking care of the environment. So, the first advice I can give is to see the big picture and don't think that your personal initiative are useless because we are thousands to do the same. Secondly, people could try to buy local products. It is difficult because we never know from where procucts come, that's why we need to create some labels for our local products (it will avoid a lot of pollution if we reduce the freight of some products). Finally, we could eat less fish and meat, for example we can try to eat veggie the week-end because we have much time to cook. The change could come from entreprises and governments because they can take important decisions about pollution and so on but first we have to show that we care about environment by doing ""our little initiatives""."
0295.xml,en,cefr-asag,document-level,learner,B2,CC BY-NC-SA 4.0,"I think the most important is to have an enjoyable job because the laps of time between the beginning of your carreer and your retirement is very long nowadays, and will grow in the future. So, you will have to manage all your life with a crappy stressful job."
0300.xml,en,cefr-asag,document-level,learner,B2,CC BY-NC-SA 4.0,"I think an enjoyable job is way more important, as long as you make enough money to live comfortably. If you are not happy when you work then it is a big problem because you do your job everyday for quite a few hours and during a big period of time. Money is of course important because you need some to live, to eat, to do stuffs on the weekends... But happiness is more than that ! If you don't like your job, you come home everyday in a bad mood and that's not nice for your family, your roomates, ..."
0314.xml,en,cefr-asag,document-level,learner,B2,CC BY-NC-SA 4.0,Eco friendly
0319.xml,en,cefr-asag,document-level,learner,B2,CC BY-NC-SA 4.0,"If you are a student, all possibilities are always open. You are young and eager, you can become everything you want... And if don't know what to do with your life... Never mind, you just start it. Make mikstakes, travels and create relationships all around the world. Stability is for after, live your dreams and reach the stars."
0322.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Before starting and write down differents advices, I think this is important to the people to understand the fact that everybody have responsabilities about the environment problem, we all have to contribuate to the improving of this last one."
0327.xml,en,cefr-asag,document-level,learner,B1,CC BY-NC-SA 4.0,"Any people agree with this question but as I'm concerned, i don't think so."
0328.xml,en,cefr-asag,document-level,learner,B2,CC BY-NC-SA 4.0,I think that following classes abroad should be a compulsory part of education.
